Title,score,budget,Marketing Amount,gross,Profitability,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded
Peggy Sue Got Married,6.4,18000000,4500000,41488348,23488348,9900000,1350000,1350000,720000,2250000,529286400,4,1446
The Mission,7.4,24500000,9187500,17502499,-6997501,11025000,7350000,1837500,980000,3062500,531100800,1,2241
Working Girls,6.6,22914608.79,4010056.539,1777378,-21137230.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,543196800,6,1673
Youngblood,6.2,22914608.79,4010056.539,15448384,-7466224.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,507513600,6,2233
Three Amigos!,6.5,25000000,6250000,39246734,14246734,13750000,1875000,1875000,1000000,3125000,534729600,4,2510
Maximum Overdrive,5.5,10000000,3750000,7433663,-2566337,4500000,3000000,750000,400000,1250000,522633600,0,757
Lucas,6.9,6000000,1500000,8200000,2200000,3300000,450000,450000,240000,750000,512352000,4,505
Friday the 13th Part VI: Jason Lives,6,3000000,750000,19472057,16472057,1350000,450000,225000,180000,375000,523238400,10,2596
The Money Pit,6.4,10000000,2500000,54999651,44999651,5500000,750000,750000,400000,1250000,512179200,4,2641
Back to School,6.6,11000000,2750000,91258000,80258000,6050000,825000,825000,440000,1375000,519004800,4,2268
Betty Blue,7.4,22914608.79,4010056.539,2016851,-20897757.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,531705600,6,1158
About Last Night,6.2,8500000,2125000,38702310,30202310,4675000,637500,637500,340000,1062500,520646400,4,2233
Critters,6.1,2000000,500000,13167232,11167232,1100000,150000,150000,80000,250000,513561600,4,623
The Texas Chainsaw Massacre 2,5.6,4700000,1175000,8025872,3325872,2585000,352500,352500,188000,587500,525052800,4,637
Iron Eagle,5.5,58084599.21,21781724.7,24159872,-33924727.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,506304000,0,1668
One Crazy Summer,6.4,22607802.13,5651950.532,13431806,-9175996.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,523843200,4,1288
From Beyond,6.7,4500000,1125000,1261000,-3239000,2025000,675000,337500,270000,562500,530496000,10,1168
Sid and Nancy,7,4000000,700000,2850707,-1149293,2200000,300000,300000,160000,500000,531705600,3,872
Henry: Portrait of a Serial Killer,7,111000,19425,609939,498939,61050,8325,8325,4440,13875,652665600,3,1886
Mona Lisa,7.3,22363565.63,4472713.126,5794184,-16569381.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,519004800,5,281
Police Academy 3: Back in Training,5.4,22607802.13,5651950.532,43579163,20971360.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,511747200,4,2507
Night of the Creeps,6.8,5000000,1250000,591366,-4408634,2750000,375000,375000,200000,625000,525052800,4,1135
The Sacrifice,8.1,22914608.79,4010056.539,167292,-22747316.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,515980800,6,790
The Hitcher,7.2,6000000,2250000,5844868,-155132,2700000,1800000,450000,240000,750000,509328000,0,2305
Rad,6.9,22914608.79,4010056.539,2015882,-20898726.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,512352000,6,213
An American Tail,6.9,75785197.13,15157039.43,84542002,8756804.867,26524819,34103338.71,7578519.713,3789259.857,9473149.642,532915200,2,664
SpaceCamp,5.7,18000000,6750000,9697739,-8302261,8100000,5400000,1350000,720000,2250000,518400000,1,1434
Raw Deal,5.6,8500000,3187500,16209459,7709459,3825000,2550000,637500,340000,1062500,518400000,0,180
Hannah and Her Sisters,7.9,6400000,1600000,40084041,33684041,3520000,480000,480000,256000,800000,511142400,4,1846
The Great Mouse Detective,7.2,14000000,2800000,38625550,24625550,4900000,6300000,1400000,700000,1750000,520646400,2,2728
Ruthless People,6.9,13000000,3250000,71624879,58624879,7150000,975000,975000,520000,1625000,520214400,4,245
The Transformers: the Movie,7.3,6000000,1200000,5860601,-139399,2100000,2700000,600000,300000,750000,523843200,2,2044
Wildcats,6.1,22607802.13,5651950.532,26285544,3677741.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,508723200,4,915
Troll,4.5,1100000,275000,5450815,4350815,605000,82500,82500,44000,137500,506304000,4,1871
At Close Range,7,6500000,1300000,2347000,-4153000,3575000,975000,487500,390000,812500,514166400,5,2394
The Boy Who Could Fly,6.5,22914608.79,4010056.539,7177431,-15737177.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,524448000,6,1681
Something Wild,6.9,7000000,1750000,8362969,1362969,3850000,525000,525000,280000,875000,531705600,4,1163
Heartburn,6.1,20000000,5000000,25314189,5314189,11000000,1500000,1500000,800000,2500000,522633600,4,1841
Crossroads,7.1,22914608.79,4010056.539,5839031,-17075577.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,511142400,6,2170
The Clan of the Cave Bear,5.4,15000000,5625000,1953732,-13046268,6750000,4500000,1125000,600000,1875000,506304000,1,574
She's Gotta Have It,6.8,175000,43750,7137502,6962502,96250,13125,13125,7000,21875,523843200,4,2678
Running Scared,6.5,58084599.21,21781724.7,38500726,-19583873.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,520214400,0,929
8 Million Ways to Die,5.8,18000000,6750000,1305114,-16694886,8100000,5400000,1350000,720000,2250000,514771200,0,1162
Soul Man,5.3,22607802.13,5651950.532,27820000,5212197.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,530496000,4,345
Down by Law,7.7,1100000,275000,1504286,404286,605000,82500,82500,44000,137500,527990400,4,2653
Poltergeist II: the Other Side,5.7,19000000,4750000,40996665,21996665,8550000,2850000,1425000,1140000,2375000,517190400,10,1249
Bad Blood,7.3,22363565.63,4472713.126,58731,-22304834.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,533347200,5,1894
Psycho III,5.4,12825159.09,3206289.773,14481606,1656446.909,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,520646400,10,167
Allan Quatermain and the Lost City of Gold,4.6,13000000,4875000,3751699,-9248301,5850000,3900000,975000,520000,1625000,538963200,0,2208
The Adventures of Milo and Otis,7,45708389.06,17140645.9,13299749,-32408640.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,620006400,1,1548
Caravaggio,6.6,25312316.72,4429655.427,5478,-25306838.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,525657600,3,2013
Children of a Lesser God,7.2,10500000,1837500,31853080,21353080,6825000,787500,787500,420000,1312500,531100800,6,2767
Invaders from Mars,5.6,12000000,3000000,4884663,-7115337,5400000,1800000,900000,720000,1500000,518400000,10,1423
Matador,7,22914608.79,4010056.539,286126,-22628482.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,510537600,6,190
Down and Out in Beverly Hills,6.2,14000000,3500000,62134225,48134225,7700000,1050000,1050000,560000,1750000,507513600,4,1992
April Fool's Day,6.2,5000000,1250000,12947763,7947763,2250000,750000,375000,300000,625000,512352000,10,620
The Big Easy,6.5,8500000,2125000,17685307,9185307,4675000,637500,637500,340000,1062500,556502400,4,639
Pirates,6.1,40000000,15000000,1641825,-38358175,18000000,12000000,3000000,1600000,5000000,522028800,0,2738
No Mercy,5.7,14000000,2800000,12303904,-1696096,7700000,2100000,1050000,840000,1750000,535334400,5,2212
Lady Jane,7.1,8500000,1487500,277646,-8222354,4675000,637500,637500,340000,1062500,508118400,3,985
Club Paradise,5.1,15000000,3750000,12308521,-2691479,8250000,1125000,1125000,600000,1875000,521424000,4,2263
Manon of the Spring,8,22914608.79,4010056.539,3940542,-18974066.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,565574400,6,2790
Gothic,5.7,22914608.79,4010056.539,916172,-21998436.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,545011200,6,856
Armed and Dangerous,5.7,12000000,4500000,15945534,3945534,5400000,3600000,900000,480000,1500000,524448000,0,1283
F/X,6.7,10000000,3750000,20603715,10603715,4500000,3000000,750000,400000,1250000,508118400,0,337
King Kong Lives,3.9,10000000,3750000,4711220,-5288780,4500000,3000000,750000,400000,1250000,535334400,0,315
Castaway,5.8,45708389.06,17140645.9,109325230.2,63616841.16,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,558316800,1,2030
Wise Guys,5.7,13000000,3250000,8475466,-4524534,7150000,975000,975000,520000,1625000,514166400,4,562
Solarbabies,4.8,25000000,9375000,1579260,-23420740,11250000,7500000,1875000,1000000,3125000,533347200,0,2217
The Manhattan Project,6.2,18000000,5400000,3900000,-14100000,6300000,7200000,2250000,900000,2250000,519004800,15,1304
Trick or Treat,5.8,22607802.13,5651950.532,6797218,-15810584.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,530496000,4,1717
Body Slam,5.2,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,548553600,4,660
Jumpin' Jack Flash,5.9,22607802.13,5651950.532,29844101,7236298.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,529286400,4,2752
Fire with Fire,6.5,22914608.79,4010056.539,4636169,-18278439.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,515980800,6,508
Gung Ho,6.3,18000000,4500000,36611610,18611610,9900000,1350000,1350000,720000,2250000,511142400,4,1869
True Stories,7.2,22607802.13,5651950.532,2545459,-20062343.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,529286400,4,589
When the Wind Blows,7.7,75785197.13,15157039.43,5274,-75779923.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,574041600,2,2103
Murphy's Law,6,6000000,2250000,9947631,3947631,2700000,1800000,450000,240000,750000,514166400,0,391
Deadly Friend,5.6,22914608.79,4010056.539,8988731,-13925877.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,529286400,6,1800
Jean de Florette,8,22607802.13,5651950.532,4940939,-17666863.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,557107200,4,2790
Reform School Girls,5.4,22363565.63,4472713.126,2510433,-19853132.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,525052800,5,1622
Band of the Hand,6.2,8700000,3262500,4865912,-3834088,3915000,2610000,652500,348000,1087500,513561600,0,2496
Vamp,5.9,3300000,825000,4941117,1641117,1815000,247500,247500,132000,412500,522028800,4,431
Nothing in Common,5.9,22607802.13,5651950.532,32324557,9716754.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,523065600,4,2641
TerrorVision,5.7,22607802.13,5651950.532,320256,-22287546.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,508723200,4,650
Quicksilver,5.7,22363565.63,4472713.126,7634909,-14728656.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,508723200,5,1492
52 Pick-Up,6.4,22363565.63,4472713.126,5186646,-17176919.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,531705600,5,2298
Black Moon Rising,5.5,58084599.21,21781724.7,6637565,-51447034.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,505699200,0,2658
Extremities,6.3,22914608.79,4010056.539,13418091,-9496517.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,525052800,6,814
The Men's Club,4.7,22914608.79,4010056.539,2556361,-20358247.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,527472000,6,594
Haunted Honeymoon,5.7,13000000,3250000,8033397,-4966603,7150000,975000,975000,520000,1625000,522633600,4,879
Summer,7.7,22914608.79,4010056.539,63137,-22851471.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,525657600,6,1731
Tough Guys,6.2,10000000,2500000,21458229,11458229,5500000,750000,750000,400000,1250000,528681600,4,342
Eliminators,4.9,58084599.21,21781724.7,4601256,-53483343.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,507513600,0,122
The Best of Times,6,12000000,3000000,7817314,-4182686,6600000,900000,900000,480000,1500000,507513600,4,2263
Firewalker,5.1,8000000,3000000,11949484,3949484,3600000,2400000,600000,320000,1000000,532915200,0,472
Modern Girls,5.8,22607802.13,5651950.532,604849,-22002953.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,531705600,4,568
Witchboard,5.7,2000000,500000,7369373,5369373,900000,300000,150000,120000,250000,542592000,10,2631
Clockwise,6.6,22607802.13,5651950.532,1476356,-21131446.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,529286400,4,1287
Legal Eagles,6,40000000,10000000,93151591,53151591,22000000,3000000,3000000,1600000,5000000,519609600,4,2253
Link,5.9,12825159.09,3206289.773,1720450,-11104709.09,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,527472000,10,2580
"Jo Jo Dancer, Your Life Is Calling",6.4,14000000,2450000,18034150,4034150,7700000,1050000,1050000,560000,1750000,515376000,3,2221
Wanted: Dead or Alive,6,58084599.21,21781724.7,7555000,-50529599.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,537753600,0,2305
American Anthem,4.8,22914608.79,4010056.539,4845724,-18068884.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,520214400,6,1930
The Morning After,6,15000000,3000000,25147055,10147055,8250000,2250000,1125000,900000,1875000,535852800,5,1111
Crimes of the Heart,6.4,20000000,5000000,22905522,2905522,11000000,1500000,1500000,800000,2500000,538358400,4,651
Under the Cherry Moon,5,22607802.13,5651950.532,10090429,-12517373.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,520646400,4,2149
Malcolm,7.1,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,531532800,4,491
Meatballs III: Summer Job,3.5,22607802.13,5651950.532,2147228,-20460574.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,537148800,4,2325
Devil in the Flesh,5.8,22914608.79,4010056.539,546904,-22367704.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,548640000,6,1773
Absolute Beginners,5.6,22914608.79,4010056.539,930211,-21984397.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,514166400,6,2076
Deadtime Stories,4.7,22607802.13,5651950.532,2750741,-19857061.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,533520000,4,2381
Avenging Force,5.8,4000000,1500000,4679650,679650,1800000,1200000,300000,160000,500000,526867200,0,1858
Heat,5.6,17000000,6375000,2793214,-14206786,7650000,5100000,1275000,680000,2125000,542592000,0,343
Sweet Liberty,5.8,22607802.13,5651950.532,14205021,-8402781.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,516585600,4,39
Killer Party,5.1,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,515980800,4,1764
Out of Bounds,5.4,58084599.21,21781724.7,5099316,-52985283.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,522633600,0,165
Wisdom,5.7,22363565.63,4472713.126,5715174,-16648391.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,536544000,5,757
Shanghai Surprise,3.2,17000000,6375000,2315683,-14684317,7650000,5100000,1275000,680000,2125000,525657600,1,2394
Power,5.7,16000000,2800000,3800000,-12200000,10400000,1200000,1200000,640000,2000000,507513600,6,2212
A Fine Mess,4.7,58084599.21,21781724.7,6029824,-52054775.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,523843200,0,2576
Let's Get Harry,5.2,58084599.21,21781724.7,140980,-57943619.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,531100800,0,1888
My Chauffeur,5.6,22607802.13,5651950.532,4781448,-17826354.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,506908800,4,620
Biggles: Adventures in Time,5.7,45708389.06,17140645.9,109325230.2,63616841.16,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,570412800,1,1980
Half Moon Street,5.4,22914608.79,4010056.539,1131399,-21783209.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,528076800,6,2456
Every Time We Say Goodbye,5.9,22914608.79,4010056.539,278623,-22635985.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,532310400,6,2641
The Decline of the American Empire,7.2,22607802.13,5651950.532,1915792,-20692010.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,532310400,4,670
Hardbodies 2,3.2,22607802.13,5651950.532,78068,-22529734.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,526867200,4,1085
The Boy in Blue,5.3,25312316.72,4429655.427,275000,-25037316.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,506304000,3,1998
Brighton Beach Memoirs,6.8,18000000,4500000,11957943,-6042057,9900000,1350000,1350000,720000,2250000,535852800,4,276
The Longshot,5.4,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,506304000,4,2613
Willy/Milly,5.6,22607802.13,5651950.532,277405,-22330397.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,532310400,4,2055
Ginger and Fred,7.3,22607802.13,5651950.532,837623,-21770179.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,512352000,4,1720
'Round Midnight,7.4,22914608.79,4010056.539,3272593,-19642015.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,528681600,6,649
Violets Are Blue...,5.9,10000000,1750000,4743287,-5256713,6500000,750000,750000,400000,1250000,514771200,6,2463
Parting Glances,7.2,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,509155200,6,1279
The Whoopee Boys,5.9,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,525052800,4,1874
Tai-Pan,5.6,25000000,9375000,4007250,-20992750,11250000,7500000,1875000,1000000,3125000,531705600,1,337
My Little Pony: The Movie,6,75785197.13,15157039.43,5958456,-69826741.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,518400000,2,562
Playing for Keeps,4.2,22607802.13,5651950.532,2669366,-19938436.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,528681600,4,550
"'night, Mother",7.6,22914608.79,4010056.539,441863,-22472745.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,538876800,6,2463
Jake Speed,5.2,58084599.21,21781724.7,1943751,-56140848.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,517795200,0,2744
